Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia unparatodos semana feliz uncolombia conoce mas orgulloun video noche unimedios 
 santycadavidd buenos dias lamentamos sucedido lista publicara hoy final dia labelurl  ; j : 196. Sim : 0.55765915; Baja. 
 comunidadun terminaron viernes esperamos gran dia mejor fin semana unparatodos  ; j : 197. Sim : 0.62528604; Baja. 
 felizlunes comenzamos dia celebrando fotografos camarografos hacen ver vida mejor labelurl  ; j : 198. Sim : 0.397069; No similar. 
 terminar dia invitamos descargar nueva edicion unperiodico labelurl feliz noche comunidadun  ; j : 199. Sim : 0.58769906; Baja. 
 hombres dia dia desempenan diferentes roles comunidadun feliz dia hombre labelurl  ; j : 200. Sim : 0.5644643; Baja. 
 comunidadun terminar jueves conoce agenda actividades trae circularun labelurl feliz noche  ; j : 201. Sim : 0.5869711; Baja. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos felizjueves unparatodos  ; j : 202. Sim : 0.62609696; Baja. 
 feliznoche toda comunidadun diariamente acompana rede sociales gracias unparatodos somosun  ; j : 203. Sim : 0.34165338; No similar. 
 hoy comenzamos dia videos musicaun programa playback labelurl feliz miercoles comunidadun  ; j : 204. Sim : 0.63083535; Baja. 
 encuentra info universidad boletinun ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 205. Sim : 0.3147096; No similar. 
 comunidadun perdiste rendicion cuentas 2015 uncolombia encuentra video aqui labelurl launcuenta  ; j : 206. Sim : 0.52670354; Baja. 
 comunidadun conoces museos uncolombia aqui puedes encontrarlos labelurl programa visita circularun ; j : 207. Sim : 0.3464627; No similar. 
 felizlunes comenzamos semana celebrando dia mundial radio toda comunidadun 985unradio labelurl  ; j : 208. Sim : 0.54875237; Baja. 
 felizmartes comencemos dia musica playback cavito mendoza labelurl video unparatodos untelevision  ; j : 209. Sim : 0.49164715; No similar. 
 descargaste nueva app radio escucha programacion celular disponible ios an labelurl  ; j : 210. Sim : 0.36512256; No similar. 
 descargaste aplicacion circularun instalala programate eventos actividades tendra 2016 unparatodos ; j : 211. Sim : 0.33497995; No similar. 
 comunidadun terminar lunes click museo ciencia juego samoga unmanizales video labelurl  ; j : 212. Sim : 0.43811685; No similar. 
 comunidadun descarga edicion diciembre unperiodico conoce mas informacion unparatodos labelurl unim; j : 213. Sim : 0.69025284; Media. 
 comunidadun hoy tambien celebramos culto lectura dia bibliotecologo uncolombia unparatodos labelurl; j : 214. Sim : 0.5772485; Baja. 
 conoce serie interactiva untelevision pocas palabras patent labelurl feliz noche comunidadun  ; j : 215. Sim : 0.54609; Baja. 
