Modulo nnlm-es-dim128-with-normalization-2
Topicos : via noticiaun unisabana unimedios comsabana colombia uniandes mas orgulloun estudiantes 2016 hoy anos 
 rt donjuancampo buena celebracion unisabanaradio 8 anos muestran camino solido futuro unisabana com; j : 193. Sim : 0.5418505; Baja. 
 nicolas calderon estudiante comsabana listo vivir grammylatino hace parte claraluna nominado labelu; j : 194. Sim : 0.38513246; No similar. 
 rt culturauniandes alosandesenbici concierto trio jazz triciclo sala ernesto martin hoy 100pm label; j : 195. Sim : 0.20217292; No similar. 
 manana auditorio fundadores sinfonicaeafit tendra v concierto temporada 2017 mass in blue l labelur; j : 196. Sim : 0.35119745; No similar. 
 rt usembassybogota equipo ccykcolombia listo mas 10 mil asistentes educacion superior nafsa16 label; j : 197. Sim : 0.36258644; No similar. 
 2015 2016 disminucion inversion vivienda pasando 24 16 2016 piedad retrepo labelurl  ; j : 198. Sim : 0.4870359; No similar. 
 rt unimedios jose felix patino medico educacion labelurl via elespectador unimedios uncolombia unal; j : 199. Sim : 0.5016085; Baja. 
 rt innpulsacol hoy uniandes conociendo exito transferencia tecnologia proyecto phycore apoyado innp; j : 200. Sim : 0.27163166; No similar. 
 comunidad tarde viernes vamos tras huellas virginia gutierrez pineda labelurl via elespectador  ; j : 201. Sim : 0.4277934; No similar. 
 puedan ayudar transformar procesos educacion jovenes deben ser parte compromiso andre labelurl  ; j : 202. Sim : 0.26797065; No similar. 
 noticiaun aplicacion anular filas supermercados idea innovadora premiada uninnova vriun unmedellin ; j : 203. Sim : 0.27681398; No similar. 
 rt cerosetenta plan semana tranquilo aca estan los5de070 labelurl cc uniandes indiebogota armandore; j : 204. Sim : 0.41385612; No similar. 
 rt comsabana cinefilia quinto libro jeronimorivera hoy presenta cinetonalabog hoy promocion cuesta ; j : 205. Sim : 0.31834286; No similar. 
 rt oaduniandes ayeryhoy bloque rgc actualmente facultad biblioteca derecho uniandes throwbackthursd; j : 206. Sim : 0.32616845; No similar. 
 rt hernanolano facultad cumple 5 anos gracias equipo profesores colaboradores unisabana unisabanara; j : 207. Sim : 0.45690447; No similar. 
 modo mision sabana contamos ayuda puedes llevar donacion edificio dejarla secr labelurl  ; j : 208. Sim : 0.2418845; No similar. 
 nacional mejor universidad colombia segun rank qs labelurl mantillaignacio mineducacion via eltiemp; j : 209. Sim : 0.47774363; No similar. 
 noticiaun viviendas espacio publico activan entorno estacion metro labelurl via unimedios territori; j : 210. Sim : 0.40265766; No similar. 
