Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores hoy colombia economicos indicadores uso bancorepublica datos presidente tarde 
 hoy cumplen 20 anos desaparicion dirigente sindical alexander cardona sabana torres sol labelurl  ; j : 156. Sim : 0.5001462; Baja. 
 jorgeajurado manana hoy sala laboral tribunal bogota sentencia 2da instancia condeno petrosantander; j : 157. Sim : 0.4549456; No similar. 
 carlosecaicedo 885599 firmas avaladas registraduria colocan segunda campana mayor apoyo parte co  ; j : 158. Sim : 0.20113482; No similar. 
 banrepcultural momento gerente general bancorepublica inaugura sala arte juego manzana cultural ban; j : 159. Sim : 0.29981646; No similar. 
 bcavirtual bcavirtual video uso explica si posible huelga ecopetrol palmaedwin usofrenteobrero uso ; j : 160. Sim : 0.2628252; No similar. 
 larrybarrios87 ecopetrol hizo primer movimiento ahora va ser nocostros usofrenteobrero usoedwin jua; j : 161. Sim : 0.27420473; No similar. 
 andrespardoa colombia ultima encuesta cncnprimera vueltan23 santosn22 zuluagannsegunda vueltan39 zu; j : 162. Sim : 0.26427785; No similar. 
 toma pequena pausa empieces nueva tarea tumente necesita momento prepararse cada actividad  ; j : 163. Sim : 0.21157207; No similar. 
 palmaedwin navierafluvial solo habilitado transporte hidrocarburos aun asi niega aceptar afiliemos ; j : 164. Sim : 0.2511261; No similar. 
 bcavirtual bcavirtual ecopetrol informa invirtio 300000 millones comunidades magdalena medio palmae; j : 165. Sim : 0.31393516; No similar. 
 jorgomezcamara usofrenteobrero celebro suscripcion buena convencion colectiva ecopetrolsa si fortal; j : 166. Sim : 0.3472748; No similar. 
 palmaedwin hoy cumple ano acuerdo escalafon ecopetrolsa ejecutado acciones salariales numero tr  ; j : 167. Sim : 0.45043415; No similar. 
 ctcolombia recursos petroleros pueden convertirse futuro energetico alternativo colombia cesar loza; j : 168. Sim : 0.46690738; No similar. 
 cirofernandezn pensar hacer fracking suelos colombia deberia hacer estudio serio cuenta impac  ; j : 169. Sim : 0.3271194; No similar. 
 uso subdirectiva meta suma tambien respalda jornada nacional protesta miercoles 10 octu labelurl  ; j : 170. Sim : 0.37195787; No similar. 
 tipempresarial comprometer trabajadores solo define identidad compartida tambien losnproyecta hacia; j : 171. Sim : 0.29921705; No similar. 
 ano nuevo simboliza comienzo manana mejor nuevo comienzo lleno armonia luz anonimo  ; j : 172. Sim : 0.39194277; No similar. 
 juan carlos echeverry anuncia entrevista larepublicaco propilco ahora estrategico nacion esperamos ; j : 173. Sim : 0.4240767; No similar. 
 frasedeldia muchas malas razones empezar empresa solo buena razon creo sabes cua labelurl  ; j : 174. Sim : 0.23632984; No similar. 
 bcavirtual bcavirtual exmagistrado jorge ivan palacio asesor juridico uso negociaciones ecopetrol p; j : 175. Sim : 0.35695648; No similar. 
 laamayaa consulte circular externa operativa servicios dte190 asunto 41 nuevas monedas metalicas la; j : 176. Sim : 0.25980064; No similar. 
 ecopetrolsa hace ofertas serias mesa negociacion ademas negado acordar servicios minimos ant labelu; j : 177. Sim : 0.49678102; No similar. 
 andrespardoa 99 mesas contadas juan manuel santos confirmado presidente colombia 509 votos  ; j : 178. Sim : 0.37027875; No similar. 
 aidaavellae senor juanmansantos barranquenos sienten desplazados falta trabajo casi 50 ciento desoc; j : 179. Sim : 0.26199418; No similar. 
 yariguies1027 lomasleido campana personeriabja subio defendiendo ecopetrolsa tras derrame crudo lue; j : 180. Sim : 0.21344103; No similar. 
 janethnoticias barrancabermeja asi amanecimos banados catalizador ecopetrolsa joder refineria si ne; j : 181. Sim : 0.37285873; No similar. 
 hoy celebramos mejor inversion mundo puede hacer amor educacion apoyo ninos hero labelurl  ; j : 182. Sim : 0.43994144; No similar. 
 usofrenteobrero mintrabajocol sanciono ecopetrolsa tener acuerdo 0177 dar mejores beneficios trabaj; j : 183. Sim : 0.3508483; No similar. 
 red contactos buena forma encontrar asociaciones empresariales grupos amigos buscan oportunidades i; j : 184. Sim : 0.38587186; No similar. 
 ppradio919 enestemomento entrevista juan jose echavarria gerente general banco republicannmas adela; j : 185. Sim : 0.3861326; No similar. 
 andrespardoa fondos acreedores discutiran arreglo argentina evite default si avance labelurl via re; j : 186. Sim : 0.38421133; No similar. 
 tipfinanciero incentiva hijos pensar modelos negocios lleven lleva generar ideas emprendimiento fut; j : 187. Sim : 0.28803062; No similar. 
 organizacion sindical expresa condolencias ing felipe bayon presidente ecopetrolsa muerte senor pad; j : 188. Sim : 0.4147341; No similar. 
 andrespardoa colombia encuestagallupprimera vuelta santos 32 zuluaga 205 ramirez 113 penalosa 101 l; j : 189. Sim : 0.24398685; No similar. 
 importa si entrenas dia noche si amas correr nacion atletismo unete labelurl soylanacion  ; j : 190. Sim : 0.28139454; No similar. 
 nuevo gerente salud francisco paula gomez desconoce convencion colectiva acuerdos suscritos salud l; j : 191. Sim : 0.4808304; No similar. 
 spituto firma acuerdo convencional ecopetrolsa gloriosa usofrenteobrero acuerdo tendra vigencia 45 ; j : 192. Sim : 0.29816264; No similar. 
 lunes llevo cabo beijing reunion wang yi jeremy hunt ministros relaciones exteriores d labelurl  ; j : 193. Sim : 0.40909413; No similar. 
 levantate temprano dale bienvenida nueva semana empezar buena energia creer cada dia labelurl  ; j : 194. Sim : 0.368685; No similar. 
 andrespardoa coincido argumento principal revistadinero bancorepublica debe seguir elevando tasa in; j : 195. Sim : 0.20802483; No similar. 
 usofrenteobrero traves muchas huelgas dio creacion ecopetrolsa hace 67 anos felicitaciones tod labe; j : 196. Sim : 0.4223949; No similar. 
 industriallgu secretario regional industriall america latina caribe marino vani inicia reunion dire; j : 197. Sim : 0.41175753; No similar. 
 andrespardoa colombia segun bloombergnews gobierno quiere reducir impuesto inversionistas extranjer; j : 198. Sim : 0.49552545; No similar. 
 bla politica monetaria debe tener sano equilibrio objetivos disminuir gap producto consol labelurl ; j : 199. Sim : 0.24579729; No similar. 
 wilson291085 usofrenteobrero damagofe hectorvaca usoedwin ludwinggomez4 libardez18 cesarloza01 usom; j : 200. Sim : 0.06650753; No similar. 
 jairo90196426 usofrenteobrero damagofe hectorvaca usoedwin ludwinggomez4 libardez18 cesarloza01 uso; j : 201. Sim : 0.24099866; No similar. 
 diegopintomi saludo fraterno companeros usofrenteobrero 95 anos lucha defensa trabajadores soberani; j : 202. Sim : 0.43683603; No similar. 
 minminas mininterior multinacional canadiense canacol incumple acuerdos firmados comunidades uso go; j : 203. Sim : 0.29681805; No similar. 
 bcavirtual bcavirtual desolacion muerte fuentes hidricas fortuna unidosecopetrol usofrenteobrero ec; j : 204. Sim : 0.2505381; No similar. 
