Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit pm hoy esperamos manana rector hoyeneafit be universidad paz auditorio partir juan 
 rt educaunisabana estudiantes licenciatura educacion infantil jornada universitaria fundacion san a; j : 192. Sim : 0.6091139; Baja. 
 vision global gerencia internacional anne marie zwerg habla nueva maestria gerencia internacional l; j : 193. Sim : 0.2879245; No similar. 
 rt jrrodriguezgil rector unisabana obduliovp menciona estudiantes colegio tunja inteligencia artifi; j : 194. Sim : 0.30948558; No similar. 
 manana crewpeligrosos seran encargados cerrar haymedellin17 eafit partir 700 pm ver mas labelurl  ; j : 195. Sim : 0.5267488; Baja. 
 rt sinescosas ecodeksas ciclo agrega valor agendate acompana andres martinez manana 6pm eafit label; j : 196. Sim : 0.43767422; No similar. 
 elca recopila datos impactos pobreza proceso paz 5 regiones colombia mas 290 municipios labelurl  ; j : 197. Sim : 0.27445385; No similar. 
 rt comsabana inclusive propias rede sociales tambien trabajan diversos tipos discursos juancannata ; j : 198. Sim : 0.16542806; No similar. 
 rt andresaljure iniciamos modulo comunicacion negociacion proceso resolver diferencias traves acuer; j : 199. Sim : 0.30625004; No similar. 
 deben sentirse orgullosos proceso paz mas completo siglo xxi aliciabarcena cepalonu elfuturodecolom; j : 200. Sim : 0.35991955; No similar. 
 rt visionotri articulo elespectador dr juan guillermo ortiz director general clinica universidad un; j : 201. Sim : 0.5562683; Baja. 
 rt jrestrp gran privilegio tener urosarionews rector unibologna unibomagazine primera universidad o; j : 202. Sim : 0.35021028; No similar. 
 rt gusgomez1701 bien rector velasquez apoya programa becarios unisabana vrnicky hoy inspira libro l; j : 203. Sim : 0.34296694; No similar. 
 proposito codigo generar confianza sociedad queremos ser policia mas humana generalnietor policiapa; j : 204. Sim : 0.397729; No similar. 
 palabras sobran palabras faltan defensa idioma columna jairo valderrama profesor comsabana labelurl; j : 205. Sim : 0.30145758; No similar. 
 rt mauriciocard colombia certeza paz activo mas importante crecimiento economico lacealames2016 eaf; j : 206. Sim : 0.46389642; No similar. 
 rt conectateu tan importante buen contenido moocs posicionarlos plataformas calidad luz adriana oso; j : 207. Sim : 0.1756092; No similar. 
 yopal san jose guaviare estima recibir 100 jovenes traves nodos regionales peama labelurl  ; j : 208. Sim : 0.39798796; No similar. 
 wenrosal estudiante doctorado biociencias usingenieria harvard stem cell institute ips core facilit; j : 209. Sim : 0.36319938; No similar. 
