Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa trabajadores uso hoy colombia pais anos presidente economicos ecopetrol indicadores 
 juancar45074794 usofrenteobrero asi ecopetrolsa refineria barranca atiende conflicto laboral fusil ; j : 190. Sim : 0.40533474; No similar. 
 bcavirtual bcavirtual uso explica va proceso negociacion convencion ecopetrol palmaedwin usofrenteo; j : 191. Sim : 0.42367932; No similar. 
 presidente unidos donald trump anuncio ayer decision retirarse acuerdo nuclear iran labelurl  ; j : 192. Sim : 0.36342037; No similar. 
 union sindical obrera uso rechaza actitud arbitraria asumida empresa telecomunicaciones bogota labe; j : 193. Sim : 0.40177545; No similar. 
 claucarizas jerobledo usofrenteobrero pide vendan parece suficiente pusieran filial automaticamente; j : 194. Sim : 0.24829085; No similar. 
 palmaedwin usofrenteobrero expresa solidaridad companeros soyanebre decidido negociar despues 20 an; j : 195. Sim : 0.48158777; No similar. 
 alapepastorfarc ecopetrol mayor empresa pais importante activo nacion patrimonio publico colombiano; j : 196. Sim : 0.65915495; Baja. 
 filirojas21 aqui paisano crack atletismo momento gran jeissonsubo libano figura equipoporven  ; j : 197. Sim : 0.36625767; No similar. 
 hoy vence plazo avvillas bancosaval llame negociar pliego peticiones trabajadores orgsindicales  ; j : 198. Sim : 0.21603994; No similar. 
 filirojas21 aqui paisano crack atletismo momento gran jeissonsubo libano figura equipoporven  ; j : 199. Sim : 0.36625767; No similar. 
 jorgeajurado ecopetrolsa empresa mas importante colombia debe seguir siendo colombianos debe entreg; j : 200. Sim : 0.46709248; No similar. 
 donald trump dijo paralizacion parcial gobierno federal iba prolongarse cumpla demand labelurl  ; j : 201. Sim : 0.22920161; No similar. 
 sandinovictoria hacemos reconocimiento sincero lucha historica usofrenteobrero defensa patrimonio p; j : 202. Sim : 0.38244727; No similar. 
 dirigentes uso permiso sindical asisten recorridos puestos centro dias martes mierc labelurl  ; j : 203. Sim : 0.3684578; No similar. 
 sandraa42862953 juanmansantos estimada senora carmen amado nregistre hoja vida consulte frecuenteme; j : 204. Sim : 0.28978023; No similar. 
 cutcolombia reunion cutcolombia ministerio trabajo canadiense hablar plan accion laboral cuanto  ; j : 205. Sim : 0.40633982; No similar. 
